x,y,z
-27.6,25.8,-12.0
-27.6,22.8,-15.6
-27.0,22.2,-14.4
-25.8,19.8,-15.6
-26.1,19.5,-15.9
-24.3,17.7,-17.1
-24.9,16.5,-17.1
-22.8,15.0,-20.4
-21.9,14.1,-21.3
-18.9,12.3,-23.1
-19.8,9.6,-22.2
-17.7,8.1,-23.7
-17.7,10.5,-24.9
-16.8,6.0,-25.8
-16.2,6.0,-24.6
-16.2,3.6,-24.0
-15.9,2.1,-24.9
-15.3,-0.3,-24.9
-12.9,-2.7,-26.1
-11.1,-3.9,-24.9
-10.8,-6.6,-24.0
-7.5,-8.1,-21.9
-8.1,-11.1,-23.1
-7.8,-12.6,-21.6
-7.5,-12.9,-22.5
-7.5,-13.5,-21.3
-7.8,-15.6,-20.4
-4.2,-18.6,-19.8
-5.7,-18.9,-20.7
-3.0,-19.2,-18.0
-2.7,-20.7,-17.7
-3.3,-21.3,-17.7
-3.0,-22.8,-16.2
-3.0,-24.0,-15.6
-1.5,-24.3,-13.5
-1.2,-25.2,-14.4
-0.3,-26.1,-12.3
-0.6,-25.8,-11.4
0.3,-28.5,-11.7
1.5,-27.9,-10.5
0.6,-28.2,-10.2
1.2,-28.8,-7.2
2.1,-29.7,-7.5
1.5,-29.1,-5.1
1.8,-28.2,-4.8
0.9,-29.1,-3.9
1.2,-31.8,-4.2
1.5,-32.7,-2.7
2.1,-30.3,-2.1
2.1,-31.5,-1.5
1.2,-31.8,0.6
0.9,-32.7,2.1
-0.9,-34.5,4.5
-1.8,-31.8,6.6
-6.6,-33.6,7.2
-8.1,-33.3,9.3
-12.0,-30.0,11.4
-14.1,-30.3,11.7
-19.5,-27.9,11.1
-23.7,-24.9,10.5
-26.1,-22.5,8.7
-27.6,-21.0,8.4
-29.1,-20.1,7.5
-31.5,-17.7,8.1
-31.2,-18.6,7.8
-32.7,-17.1,7.5
-33.3,-15.3,10.5
-32.7,-15.9,11.1
-31.8,-16.2,12.6
-32.4,-16.8,13.8
-33.0,-17.4,15.0
-32.1,-17.1,15.3
-33.6,-17.4,15.6
-33.0,-14.4,16.2
-32.1,-15.9,18.9
-32.1,-15.3,18.3
-30.9,-15.9,20.7
-30.6,-15.6,22.2
-31.2,-16.2,22.8
-31.5,-14.7,22.5
-30.3,-14.1,23.7
-32.1,-14.7,23.7
-30.0,-13.2,25.2
-30.3,-13.5,26.7
-30.9,-11.7,27.9
-28.2,-13.2,28.8
-26.4,-11.4,31.2
-25.2,-12.6,32.4
-23.4,-13.2,34.2
-24.3,-13.5,35.1
-23.7,-12.3,34.5
-23.4,-11.4,34.2
-24.9,-12.3,36.9
-24.3,-11.7,35.7
-23.4,-12.0,34.8
-24.3,-11.1,35.1
-23.1,-10.5,36.3
-23.4,-12.0,36.6
-25.2,-12.6,36.6
-23.7,-12.3,34.5
-23.7,-11.7,34.5
-24.6,-12.6,36.0
-25.2,-11.4,32.4
-25.8,-11.4,32.4
-27.3,-11.7,33.3
-29.1,-13.5,31.5
-27.6,-10.2,31.2
-28.2,-12.0,30.0
-29.4,-12.6,29.4
-29.4,-13.2,28.8
-30.6,-12.6,27.6
-30.3,-13.5,27.3
-28.8,-12.6,28.2
-31.5,-13.5,24.9
-31.2,-12.0,22.2
-33.3,-11.7,20.7
-33.0,-12.0,19.2
-32.4,-12.0,17.4
-34.5,-12.3,16.5
-35.1,-11.7,14.7
-34.8,-9.6,13.2
-36.6,-10.2,13.2
-36.6,-9.0,10.2
-36.3,-9.3,8.1
-36.0,-7.8,5.4
-36.9,-6.9,3.9
-38.4,-6.6,1.2
-35.4,-5.4,-0.6
-36.9,-3.3,-2.7
-35.7,-5.7,-3.3
-34.2,-6.0,-4.2
-34.2,-6.0,-5.4
-33.0,-6.6,-7.8
-32.4,-6.0,-6.6
-33.3,-6.3,-8.7
-33.0,-6.6,-9.6
-31.5,-4.5,-10.5
-30.6,-6.0,-12.0
-29.4,-4.2,-13.2
-30.0,-4.8,-13.2
-30.6,-5.4,-12.6
-28.5,-5.1,-13.5
-27.3,-4.5,-15.3
-26.1,-4.5,-17.1
-25.8,-5.4,-17.4
-26.7,-5.7,-18.3
-23.7,-5.1,-17.1
-23.4,-4.2,-19.8
-21.9,-3.3,-20.7
-21.3,-3.9,-20.7
-19.5,-5.7,-20.1
-20.7,-3.9,-23.1
-18.3,-5.1,-21.3
-18.9,-3.9,-22.5
-17.4,-3.6,-21.0
-17.7,-3.9,-24.3
-16.8,-4.2,-23.4
-15.0,-4.8,-23.4
-15.6,-3.6,-24.6
-14.7,-3.3,-24.3
-12.6,-4.2,-26.4
-12.3,-3.9,-25.5
-12.0,-3.6,-26.4
-10.8,-3.6,-26.4
-9.0,-4.2,-27.6
-7.5,-1.5,-26.7
-6.0,-3.0,-28.2
-3.6,-4.2,-25.8
-3.0,-3.6,-27.6
-1.8,-3.0,-25.8
1.5,-3.9,-27.9
1.2,-3.0,-28.2
2.1,-3.3,-26.7
3.0,-4.2,-27.0
6.3,-4.5,-25.5
6.0,-5.4,-25.8
7.8,-4.8,-25.8
12.0,-5.4,-25.2
11.7,-5.7,-24.3
15.3,-5.7,-24.3
15.0,-5.4,-24.0
18.0,-7.2,-21.6
19.8,-6.6,-22.2
19.5,-8.1,-19.5
20.4,-7.8,-19.8
21.3,-6.9,-18.3
21.9,-8.7,-18.3
23.7,-9.3,-18.3
23.1,-9.3,-16.5
24.3,-9.9,-14.1
25.5,-10.5,-12.9
25.8,-12.6,-12.0
25.5,-14.1,-11.1
27.9,-12.9,-11.7
26.1,-14.1,-9.3
29.1,-14.7,-8.7
27.6,-15.6,-8.4
30.3,-15.3,-6.9
29.7,-17.1,-7.5
28.2,-17.4,-4.2
29.4,-16.2,-5.4
29.4,-18.0,-3.0
30.0,-18.0,-1.8
28.5,-19.5,-0.3
28.2,-20.4,0.6
29.1,-20.7,3.9
27.6,-24.0,5.4
27.0,-23.4,4.2
27.3,-21.3,5.7
27.6,-23.4,7.2
27.0,-23.4,6.6
25.5,-24.3,7.5
26.4,-24.0,8.4
24.9,-24.9,11.7
25.2,-24.6,12.0
22.2,-26.4,12.6
22.5,-25.5,12.3
22.2,-25.8,13.8
23.1,-27.3,14.1
22.2,-25.8,16.2
18.9,-27.9,12.9
20.4,-28.2,16.2
19.8,-28.2,16.8
20.4,-28.8,15.6
18.3,-27.9,16.5
18.9,-27.3,18.3
17.7,-28.5,18.9
18.6,-29.4,18.0
16.2,-29.4,18.6
14.4,-29.4,19.8
15.6,-29.4,18.6
15.0,-29.4,20.4
13.8,-30.0,20.4
14.4,-30.0,20.4
13.8,-29.4,20.4
13.5,-29.1,19.5
14.1,-29.7,20.1
13.8,-30.0,20.4
11.7,-30.9,21.3
12.6,-30.6,19.8
11.1,-30.3,20.1
11.7,-30.3,21.9
13.5,-28.5,21.3
13.2,-31.2,19.8
14.1,-30.9,20.7
12.9,-29.7,20.7
13.2,-28.2,19.8
14.7,-29.7,18.3
15.6,-29.4,18.0
16.8,-28.8,17.4
17.4,-28.8,16.2
17.7,-29.1,17.1
20.1,-28.5,15.3
19.2,-27.6,15.0
20.1,-27.9,14.1
22.5,-26.7,12.9
22.5,-26.1,12.3
23.1,-26.1,11.1
24.3,-28.5,9.9
26.7,-25.5,8.7
26.1,-22.5,8.7
27.9,-22.5,6.9
29.1,-21.3,6.9
27.9,-21.9,4.5
28.2,-20.4,1.8
28.8,-18.0,1.8
29.7,-18.3,-2.1
30.0,-15.6,-1.8
31.5,-14.7,-5.1
30.9,-12.9,-4.5
31.5,-13.5,-7.5
30.0,-10.8,-8.4
30.0,-9.6,-9.0
30.6,-9.0,-12.6
28.8,-9.0,-11.4
27.6,-9.6,-12.0
28.2,-8.4,-13.2
27.0,-7.8,-16.2
24.6,-7.2,-18.0
24.3,-3.9,-19.5
22.5,-3.9,-19.5
20.1,-4.5,-20.1
21.9,-3.9,-20.1
18.6,-3.0,-22.2
17.7,-3.3,-23.7
16.2,-2.4,-24.0
13.5,-2.7,-27.9
14.4,-1.8,-25.8
9.9,-0.9,-26.7
8.1,-2.7,-28.5
7.2,-1.2,-27.6
4.5,-1.5,-27.3
0.9,-1.5,-27.3
2.4,-3.0,-27.6
-0.3,-2.1,-27.9
1.2,-1.2,-28.2
0.0,-1.2,-28.2
-1.2,-0.6,-27.0
-1.2,0.0,-29.4
-4.8,-0.6,-28.8
-3.9,-3.9,-27.3
-4.8,-0.6,-27.0
-6.0,-1.2,-27.6
-8.1,-2.1,-29.1
-9.0,-0.6,-27.0
-10.8,-1.8,-26.4
-9.6,-1.8,-27.0
-11.7,-0.9,-26.7
-11.1,-1.5,-26.1
-12.6,-1.2,-26.4
-14.4,-1.8,-24.0
-15.3,0.3,-21.3
-17.4,-2.4,-22.8
-19.2,-3.0,-23.4
-18.9,-2.1,-21.9
-19.5,-3.3,-21.9
-20.1,-4.5,-19.5
-22.2,-4.8,-19.2
-23.1,-3.9,-18.9
-24.6,-4.8,-20.4
-23.7,-2.7,-18.9
-25.5,-3.9,-17.7
-25.2,-4.8,-15.6
-27.9,-5.1,-17.1
-28.5,-4.5,-14.1
-31.5,-5.1,-12.9
-31.2,-7.2,-10.8
-32.1,-5.7,-11.1
-32.1,-5.7,-12.3
-31.5,-5.7,-10.5
-32.4,-5.4,-8.4
-33.0,-7.2,-8.4
-33.3,-6.3,-6.3
-33.6,-7.2,-6.6
-33.6,-7.8,-3.6
-34.8,-9.0,-3.6
-34.5,-9.3,-2.7
-34.2,-10.8,-1.8
-33.9,-8.1,0.9
-34.5,-8.1,-1.5
-36.0,-7.8,0.0
-35.1,-8.1,2.1
-36.9,-8.1,2.7
-37.2,-8.4,4.2
-37.5,-6.9,6.3
-38.1,-7.5,8.1
-37.8,-7.8,7.8
-36.9,-8.7,8.7
-37.8,-6.6,10.2
-38.7,-7.5,12.9
-37.8,-6.0,13.2
-38.1,-5.7,14.1
-38.1,-6.3,15.9
-37.2,-6.6,16.8
-38.1,-4.5,17.1
-37.5,-5.7,17.7
-37.5,-5.7,18.9
-38.1,-6.3,19.5
-37.5,-3.3,20.7
-37.2,-3.6,21.6
-35.7,-6.3,22.5
-35.4,-4.2,24.0
-34.8,-5.4,25.8
-33.9,-4.5,27.3
-32.7,-3.9,26.7
-34.5,-2.7,28.5
-33.0,-3.6,29.4
-32.4,-3.6,28.8
-31.2,-4.2,31.2
-31.5,-3.9,32.7
-30.6,-3.6,30.6
-29.4,-1.2,34.8
-30.0,-1.8,34.2
-30.0,0.0,34.8
-27.3,-1.5,35.1
-29.4,-0.6,37.2
